id,Course Name,Provider,Skills,Rating,Total Reviews,Level,Duration
1,Google Data Analytics,Google,"Data Storytelling, Data Literacy, Data Visualization, Data Presentation, Data Ethics, Data Cleansing, Rmarkdown, Data Validation, Ggplot2, Tableau Software, Sampling (Statistics), Presentations, Spreadsheet Software, Data Analysis, Data Visualization Software, LinkedIn, Dashboard, Data Processing, Interviewing Skills, Professional Development",4.8,177K reviews,Beginner Â,3 - 6 Months
2,Google Cybersecurity,Google,"Threat Modeling, Network Security, Threat Management, Incident Response, Vulnerability Management, Computer Security Incident Management, Hardening, Intrusion Detection and Prevention, Security Management, Security Awareness, Cyber Attacks, Cybersecurity, Network Protocols, Cloud Security, Bash (Scripting Language), Debugging, Linux, Interviewing Skills, Python Programming, SQL",4.8,60K reviews,Beginner Â,3 - 6 Months
3,Google Project Management,Google,"Quality Management, Project Management Life Cycle, Requirements Analysis, Project Scoping, Project Closure, Project Management, Project Planning, Agile Project Management, Continuous Improvement Process, Project Controls, Backlogs, Milestones (Project Management), Project Risk Management, Stakeholder Analysis, Quality Assessment, Team Management, Agile Methodology, Change Management, Interviewing Skills, Professional Development",4.8,137K reviews,Beginner Â,3 - 6 Months
4,Google Digital Marketing & E-commerce,Google,"Data Storytelling, Media Planning, Social Media Marketing, Google Ads, Email Marketing, Social Media Strategy, Order Fulfillment, Social Media Management, Search Engine Optimization, Performance Measurement, Spreadsheet Software, A/B Testing, Digital Marketing, E-Commerce, Campaign Management, Loyalty Programs, Customer Retention, Marketing, Interviewing Skills, Professional Development",4.8,45K reviews,Beginner Â,3 - 6 Months
5,Google IT Support,Google,"IT Security Architecture, Computer Networking, Operating System Administration, Package and Software Management, Network Troubleshooting, Version Control, IT Automation, Systems Administration, IT Infrastructure, TCP/IP, Git (Version Control System), Chef (Configuration Management Tool), Network Security, Ruby (Programming Language), File Systems, Microsoft Windows, Computer Hardware, Technical Support, Interviewing Skills, Professional Development",4.8,208K reviews,Beginner Â,3 - 6 Months
6,Google UX Design,Google,"Responsive Web Design, Storyboarding, Wireframing, User Experience Design, UI/UX Research, Usability Testing, Information Architecture, Presentations, User Research, Figma (Design Software), Design Reviews, Persona (User Experience), Web Content Accessibility Guidelines, User Story, Data Ethics, Usability, User Centered Design, Mockups, Interviewing Skills, Professional Development",4.8,95K reviews,Beginner Â,3 - 6 Months
7,IBM Generative AI Engineering,IBM,"Exploratory Data Analysis, Prompt Engineering, Data Wrangling, LangChain, Prompt Patterns, Large Language Modeling, Generative AI, Unsupervised Learning, PyTorch (Machine Learning Library), Restful API, Keras (Neural Network Library), Data Transformation, Supervised Learning, Flask (Web Framework), Data Analysis, Data Cleansing, Data Manipulation, Deep Learning, LLM Application, Data Import/Export",4.6,95K reviews,Beginner Â,3 - 6 Months
8,Google Advanced Data Analytics,Google,"Data Storytelling, Data Visualization, Data Ethics, Exploratory Data Analysis, Sampling (Statistics), Data Presentation, Data Visualization Software, Feature Engineering, Regression Analysis, Descriptive Statistics, Statistical Hypothesis Testing, Advanced Analytics, Data Analysis, Data Science, Tableau Software, Statistical Analysis, Machine Learning, Object Oriented Programming (OOP), Interviewing Skills, Python Programming",4.7,9.4K reviews,Advanced Â,3 - 6 Months
9,IBM Data Analyst,IBM,"Exploratory Data Analysis, Data Storytelling, Data Wrangling, Dashboard, Data Visualization Software, Plotly, Data Visualization, Generative AI, SQL, Interactive Data Visualization, Data Transformation, Data Analysis, Data Cleansing, Big Data, IBM Cognos Analytics, Excel Formulas, Professional Networking, Data Import/Export, Microsoft Excel, Python Programming",4.6,96K reviews,Beginner Â,3 - 6 Months
10,IBM AI Developer,IBM,"Prompt Engineering, Prompt Patterns, Computer Vision, Software Development Life Cycle, Large Language Modeling, Software Architecture, Generative AI, LangChain, Responsive Web Design, Restful API, LLM Application, Flask (Web Framework), Software Design, IBM Cloud, Data Import/Export, Python Programming, Engineering Software, Workflow Management, Machine Learning, Data Science",4.6,77K reviews,Beginner Â,3 - 6 Months
11,IBM Data Science,IBM,"Exploratory Data Analysis, Data Wrangling, Dashboard, Data Visualization Software, Data Visualization, SQL, Unsupervised Learning, Plotly, Interactive Data Visualization, Peer Review, Data Transformation, Supervised Learning, Jupyter, Data Analysis, Data Cleansing, Data Manipulation, Data Literacy, Generative AI, Professional Networking, Data Import/Export",4.6,147K reviews,Beginner Â,3 - 6 Months
12,Google IT Automation with Python,Google,"Git (Version Control System), GitHub, Version Control, Infrastructure as Code (IaC), Debugging, Cloud Management, Bash (Scripting Language), Puppet (Configuration Management Tool), Infrastructure As A Service (IaaS), Cloud Services, Technical Communication, Unit Testing, Web Services, Email Automation, Automation, Python Programming, Interviewing Skills, Configuration Management, Professional Development, Scripting",4.8,51K reviews,Advanced Â,3 - 6 Months
13,IBM AI Product Manager,IBM,"Prompt Engineering, AI Product Strategy, Prompt Patterns, Generative AI, New Product Development, Product Management, Product Lifecycle Management, Generative Model Architectures, Product Development, Innovation, Product Roadmaps, Usability Testing, Product Planning, Commercialization, Artificial Intelligence, Product Strategy, Project Management Life Cycle, OpenAI, Stakeholder Engagement, Stakeholder Management",4.7,32K reviews,Beginner Â,3 - 6 Months
14,Google Business Intelligence,Google,"Data Modeling, Database Design, Stakeholder Engagement, Dashboard, Business Intelligence, Extract, Transform, Load, Tableau Software, Databases, Data Warehousing, Database Systems, Data Pipelines, Data-Driven Decision-Making, Data Visualization, Interviewing Skills, Business Process, Business Analysis, Professional Development, Google Gemini, Data Analysis, SQL",4.8,5.6K reviews,Advanced Â,3 - 6 Months
15,IBM Full Stack Software Developer,IBM,"Prompt Engineering, CI/CD, Software Development Life Cycle, Cloud-Native Computing, Software Architecture, Istio, Cloud Computing Architecture, Application Deployment, React Redux, Kubernetes, Node.JS, Responsive Web Design, Restful API, Django (Web Framework), Git (Version Control System), Server Side, Hypertext Markup Language (HTML), Cloud Computing, Data Import/Export, Engineering Software",4.6,58K reviews,Beginner Â,3 - 6 Months
16,IBM DevOps and Software Engineering,IBM,"User Story, CI/CD, Open Web Application Security Project (OWASP), Continuous Integration, Software Development Life Cycle, Software Architecture, Istio, Linux Commands, Cloud Computing Architecture, Application Deployment, Test Driven Development (TDD), Kubernetes, Gherkin (Scripting Language), Restful API, DevOps, Git (Version Control System), Grafana, Software Engineering, Data Import/Export, Application Development",4.6,63K reviews,Beginner Â,3 - 6 Months
17,IBM Data Analytics with Excel and R,IBM,"Data Storytelling, Interactive Data Visualization, Data Visualization Software, Data Visualization, Database Design, Shiny (R Package), Data Wrangling, Exploratory Data Analysis, Relational Databases, Big Data, Ggplot2, Data Analysis, IBM Cognos Analytics, Data Presentation, Data Mining, Dashboard, Excel Formulas, Data Manipulation, Web Scraping, Microsoft Excel",4.7,30K reviews,Beginner Â,3 - 6 Months
18,IBM Back-End Development,IBM,"Open Web Application Security Project (OWASP), Software Development Life Cycle, Software Architecture, Istio, Linux Commands, Application Deployment, Kubernetes, NoSQL, Bash (Scripting Language), MongoDB, Restful API, Shell Script, Django (Web Framework), Object-Relational Mapping, OpenShift, Git (Version Control System), Grafana, Microservices, Data Import/Export, Python Programming",4.6,51K reviews,Beginner Â,3 - 6 Months
19,IBM Data Engineering,IBM,"NoSQL, Apache Spark, Data Warehousing, Apache Hadoop, Extract, Transform, Load, Apache Airflow, Web Scraping, Linux Commands, Database Design, SQL, IBM Cognos Analytics, MySQL, Database Administration, Data Store, Generative AI, Professional Networking, Data Import/Export, Python Programming, Data Analysis, Data Science",4.6,61K reviews,Beginner Â,3 - 6 Months
20,IBM Relational Database Administrator with GenAI,IBM,"Data Engineering, Data Warehousing, Extract, Transform, Load, Apache Airflow, Web Scraping, Linux Commands, Database Design, SQL, Database Administration, MySQL, Data Pipelines, Apache Kafka, Database Management, Bash (Scripting Language), Shell Script, Database Architecture and Administration, Data Store, Generative AI, Data Import/Export, Data Security",4.6,60K reviews,Intermediate Â,3 - 6 Months
21,Microsoft Power BI Data Analyst,Microsoft,"Power BI, Microsoft Excel, Data Analysis, Data Literacy, Data Visualization, Data Storage, Microsoft Power Platform, Data Collection, Data Quality, Business Analytics, Timelines, Advanced Analytics, Database Design, Statistical Reporting, Statistical Visualization, Business Intelligence, Data Integration, Data Storage Technologies, SQL, Data Manipulation",4.6,8.5K reviews,Beginner Â,3 - 6 Months
22,Generative AI Leader,Google Cloud,"Prompt Engineering, Generative AI Agents, Google Gemini, Responsible AI, Google Workspace, Generative AI, Google Cloud Platform, AI Product Strategy, Productivity Software, LLM Application, Business Leadership, Unstructured Data, Tool Calling, Data Ethics, Customer experience improvement, Artificial Intelligence, Data Governance, Organizational Strategy, Cloud Computing, Collaboration",4.6,578 reviews,Beginner Â,3 - 6 Months
23,IBM Data Management,IBM,"Dashboard, Data Storytelling, Data Warehousing, SQL, Data Visualization, Data Security, Data Migration, Database Design, Data Governance, MySQL, Descriptive Statistics, Extract, Transform, Load, Data Store, Data Management, Relational Databases, Databases, Exploratory Data Analysis, Data Architecture, Excel Formulas, Business Intelligence",4.7,18K reviews,Beginner Â,3 - 6 Months
24,IBM Business Analyst,IBM,"Data Storytelling, Risk Mitigation, Business Analysis, Business Process Modeling, Risk Analysis, Project Scoping, Process Flow Diagrams, Stakeholder Analysis, Process Optimization, Data Visualization, Requirements Management, Prompt Engineering, Risk Management, Stakeholder Management, Digital Transformation, Responsible AI, Excel Formulas, Microsoft Excel, Business Analytics, Business Requirements",4.7,14K reviews,Beginner Â,3 - 6 Months
25,IBM Business Intelligence (BI) Analyst,IBM,"Dashboard, Data Storytelling, Data Visualization, Database Design, MySQL, Presentations, Descriptive Statistics, Extract, Transform, Load, Business Intelligence, Data Visualization Software, IBM DB2, Tableau Software, Relational Databases, Star Schema, IBM Cognos Analytics, Interactive Data Visualization, Microsoft SQL Servers, Regression Analysis, Forecasting, Excel Formulas",4.7,15K reviews,Beginner Â,3 - 6 Months
26,"IBM AI Engineering with Python, PyTorch & TensorFlow",IBM,"Prompt Engineering, Apache Spark, Large Language Modeling, Computer Vision, PyTorch (Machine Learning Library), Unsupervised Learning, Generative AI, PySpark, Keras (Neural Network Library), Supervised Learning, Deep Learning, Image Analysis, Reinforcement Learning, Regression Analysis, LLM Application, Scikit Learn (Machine Learning Library), Applied Machine Learning, Machine Learning, Python Programming, Data Science",4.6,21K reviews,Intermediate Â,3 - 6 Months
27,IBM RAG and Agentic AI: Build Next-Gen AI Systems,IBM,"Prompt Engineering, LangChain, Tool Calling, LangGraph, Agentic systems, Multimodal Prompts, Generative AI, LLM Application, Responsible AI, Generative AI Agents, OpenAI, Artificial Intelligence and Machine Learning (AI/ML), Application Design, Application Deployment, Application Development, Large Language Modeling, UI Components, Semantic Web, Artificial Intelligence, Software Development",4.6,434 reviews,Advanced Â,3 - 6 Months
28,Meta Social Media Marketing,Meta,"Paid media, Social Media Management, Social Media, Social Media Marketing, Target Audience, Marketing Analytics, Content Creation, Social Media Strategy, Social Media Campaigns, Instagram, Persona Development, Advertising Campaigns, Marketing Effectiveness, Advertising, Marketing Budgets, Smart Goals, Campaign Management, Key Performance Indicators (KPIs), Digital Marketing, Brand Management",4.8,22K reviews,Beginner Â,3 - 6 Months
29,Intuit Academy Bookkeeping: Balance Books Like a Boss,Intuit,"Reconciliation, Financial Statements, Financial Statement Analysis, Inventory Accounting, Payroll, Bookkeeping, QuickBooks (Accounting Software), Payroll Administration, Inventory Control, Payroll Processing, Income Statement, Balance Sheet, Financial Reporting, Depreciation, Fixed Asset, Payroll Tax, Property Accounting, Accounting Software, Financial Accounting, Financial Analysis",4.6,7.9K reviews,Beginner Â,3 - 6 Months
30,IBM Java Developer,IBM,"Prompt Engineering, Cloud-Native Computing, Software Development Life Cycle, Software Architecture, Hibernate (Java), Database Design, Responsive Web Design, Docker (Software), Containerization, Git (Version Control System), GitHub, Object Oriented Programming (OOP), Microservices, CI/CD, Restful API, Java Programming, Engineering Software, Version Control, Database Management, Software Design",4.6,6.6K reviews,Beginner Â,3 - 6 Months
31,IBM Full-Stack JavaScript Developer,IBM,"Node.JS, Software Development Life Cycle, Software Architecture, Istio, Application Deployment, React Redux, Kubernetes, CI/CD, Cloud-Native Computing, Responsive Web Design, NoSQL, OpenShift, Restful API, Git (Version Control System), Cloud Applications, GitHub, Ajax, Javascript, Azure DevOps, Engineering Software",4.6,8.5K reviews,Beginner Â,3 - 6 Months
32,IBM JavaScript Backend Developer,IBM,"Open Web Application Security Project (OWASP), Node.JS, Containerization, Software Development Life Cycle, Software Architecture, Istio, Application Deployment, Kubernetes, Cloud-Native Computing, Responsive Web Design, NoSQL, OpenShift, Restful API, Git (Version Control System), Cloud Applications, Ajax, Grafana, Javascript, Azure DevOps, Engineering Software",4.6,8.2K reviews,Beginner Â,3 - 6 Months
33,Microsoft AI Product Manager,Microsoft,"Competitive Analysis, Market Research, User Story, User Interface (UI), Product Roadmaps, Competitive Intelligence, AI Product Strategy, Usability, Persona Development, Product Development, Market Analysis, Product Management, Product Lifecycle Management, Customer Analysis, Design Thinking, Market Intelligence, User Interface (UI) Design, Quality Assurance and Control, Product Strategy, Data Analysis",4.6,253 reviews,Beginner Â,3 - 6 Months
34,IBM Product Owner,IBM,"AI Product Strategy, User Story, Sprint Retrospectives, Backlogs, Agile Product Development, Generative AI, Agile Software Development, Stakeholder Communications, Agile Methodology, Kanban Principles, Responsible AI, Product Roadmaps, Virtual Teams, Information Technology, Agile Project Management, Computer Hardware, Product Strategy, ChatGPT, Stakeholder Management, Sprint Planning",4.7,6.6K reviews,Beginner Â,3 - 6 Months
35,IBM iOS and Android Mobile App Developer,IBM,"React Native, Prompt Engineering, Software Development Life Cycle, Flutter (Software), Software Architecture, Swift Programming, Mobile Development, Apple Xcode, Android Studio, Android Development, React Redux, Apple iOS, Responsive Web Design, Git (Version Control System), GitHub, Software Design, Android (Operating System), Cascading Style Sheets (CSS), User Experience Design, AI Personalization",4.6,7.4K reviews,Beginner Â,3 - 6 Months
36,"IBM Front-End Development with Figma, Bootstrap & Git",IBM,"Bootstrap (Front-End Framework), Software Development Life Cycle, Cloud-Native Computing, Software Architecture, Browser Compatibility, React Redux, Cloud Applications, Responsive Web Design, NoSQL, Git (Version Control System), GitHub, Webpack, Application Development, MongoDB, Software Design, Agile Methodology, Hypertext Markup Language (HTML), HTML and CSS, User Experience Design, Engineering Software",4.6,7.6K reviews,Beginner Â,3 - 6 Months
37,IBM IT Project Manager,IBM,"User Story, Stakeholder Engagement, Software Development Life Cycle, Software Architecture, Project Management Life Cycle, Resource Management, Peer Review, Agile Software Development, Earned Value Management, Stakeholder Management, Agile Methodology, Project Risk Management, Kanban Principles, Project Management, Information Technology, Risk Management, Interviewing Skills, Agile Project Management, Leadership, Communication",4.7,9.8K reviews,Beginner Â,3 - 6 Months
38,IBM Product Manager,IBM,"AI Product Strategy, User Story, Usability Testing, New Product Development, Product Management, Product Lifecycle Management, Generative AI, Product Development, Innovation, Agile Software Development, Product Roadmaps, Agile Methodology, Kanban Principles, Responsible AI, Backlogs, Product Planning, Sprint Retrospectives, Agile Project Management, ChatGPT, Leadership",4.8,4.1K reviews,Beginner Â,3 - 6 Months
39,Meta Front-End Developer,Meta,"User Experience Design, User Interface and User Experience (UI/UX) Design, User Experience, Design Research, Linux Commands, User Centered Design, Debugging, User Interface (UI), Software Versioning, Software Visualization, Web Content Accessibility Guidelines, Pseudocode, JavaScript Frameworks, Javascript, Web Applications, Semantic Web, Cascading Style Sheets (CSS), Unit Testing, Application Development, API Design",4.7,23K reviews,Beginner Â,3 - 6 Months
40,IBM IT Scrum Master,IBM,"User Story, Software Development Life Cycle, Software Architecture, Sprint Retrospectives, Agile Software Development, Kanban Principles, DevOps, Backlogs, Software Design, Scrum (Software Development), Information Technology, Software Engineering, Computer Hardware, Software Design Patterns, Agile Methodology, Agile Project Management, Team Building, Risk Management, Leadership, Communication",4.8,11K reviews,Beginner Â,3 - 6 Months
41,IBM and ISC2 Cybersecurity Specialist,Multiple educators,"Incident Response, Network Security, Computer Security Incident Management, Cloud Computing Architecture, Penetration Testing, Cloud Services, Business Continuity, Disaster Recovery, Security Controls, Generative AI, Configuration Management, Governance, Cloud Security, Cloud Infrastructure, Cybersecurity, Data Storage, Peripheral Devices, Application Security, Information Technology, Cryptography",4.7,14K reviews,Beginner Â,3 - 6 Months
42,HRCI Human Resource Associate,HRCI,"Talent Acquisition, Training and Development, Compensation and Benefits, Training Programs, Recruitment, Employee Training, Full Cycle Recruitment, Job Analysis, Employee Performance Management, Compensation Management, Performance Appraisal, Job Evaluation, Developing Training Materials, Compensation Strategy, Performance Management, Human Resource Policies, Employee Relations, Occupational Safety And Health, Risk Management, Business Risk Management",4.8,2.9K reviews,Beginner Â,3 - 6 Months
43,Adobe Graphic Designer: Design that Demands Attention,Adobe,"Adobe Illustrator, Adobe Photoshop, Responsible AI, Logo Design, Generative AI, Graphic Design, User Interface and User Experience (UI/UX) Design, Productivity Software, Visual Design, Digital Design, File Management, Process Design, Design Reviews, Prompt Engineering, Image Analysis, Presentations, Client Services, Content Creation, Branding, Storytelling",4.7,1.8K reviews,Beginner Â,3 - 6 Months
44,IBM Cybersecurity Analyst,IBM,"Operating System Administration, Cyber Threat Hunting, Incident Response, IT Service Management, Identity and Access Management, Cloud Computing, Governance Risk Management and Compliance, Information Technology Infrastructure Library, Endpoint Security, Malware Protection, Penetration Testing, Computer Security Incident Management, Linux Commands, Database Management, Network Security, Networking Hardware, Cybersecurity, Cyber Threat Intelligence, Interviewing Skills, Cyber Security Assessment",4.6,27K reviews,Beginner Â,3 - 6 Months
45,Adobe Marketing Specialist,Adobe,"Promotional Strategies, Marketing Planning, Social Media Content, Responsible AI, Digital Marketing, Cross-Channel Marketing, Logo Design, Content Marketing, Creative Design, Target Audience, Generative AI, Digital Advertising, Marketing Strategies, Campaign Management, Content Creation, Social Media Marketing, Graphic Design, Content Strategy, Advertising, Market Research",4.7,1.8K reviews,Beginner Â,3 - 6 Months
46,DeepLearning.AI Data Engineering,Multiple educators,"Apache Airflow, Data Modeling, Data Pipelines, Data Storage, Data Architecture, Requirements Analysis, Data Processing, Data Warehousing, Query Languages, Apache Hadoop, Extract, Transform, Load, Data Lakes, Amazon Web Services, File Systems, Apache Spark, Database Systems, Feature Engineering, Data Integration, AWS Kinesis, Data Management",4.7,529 reviews,Intermediate Â,3 - 6 Months
47,Adobe Content Creator: Launching Your Creative Career,Adobe,"Photo/Video Production and Technology, Video Editing, Typography, Responsible AI, Media Production, Logo Design, Generative AI, Social Media, Content Creation, Graphic Design, Social Media Management, Creative Design, Adobe Photoshop, Visual Design, Content Marketing, Infographics, Content Strategy, Color Theory, Storytelling, Branding",4.7,1.8K reviews,Beginner Â,3 - 6 Months
48,"IBM Data Architect with SQL, Spark & Kafka",IBM,"NoSQL, Data Warehousing, SQL, Apache Hadoop, Extract, Transform, Load, Apache Airflow, Data Security, Linux Commands, Data Migration, Database Design, Data Governance, MySQL, Database Administration, Apache Spark, Data Pipelines, Apache Kafka, Database Management, Bash (Scripting Language), Data Store, Data Architecture",4.6,7.1K reviews,Beginner Â,3 - 6 Months
49,Arizona State University TESOL,Arizona State University,"Oral Comprehension, Education Software and Technology, Pedagogy, Literacy, Teaching, Learning Strategies, Instructional Strategies, Enthusiasm, Motivational Skills, Oral Expression, Learning Styles, Technology Strategies, Grammar, Language Learning, English Language, Language Competency, Constructive Feedback, Design Elements And Principles, Learning Theory, Self-Awareness",4.9,21K reviews,Beginner Â,3 - 6 Months
50,Microsoft Excel,Microsoft,"Excel Macros, Prompt Engineering, Microsoft Excel, Data Cleansing, Excel Formulas, Pivot Tables And Charts, Microsoft Copilot, Dashboard, Forecasting, Data Presentation, Data Storytelling, Data Processing, Data Visualization Software, Data Manipulation, Data Visualization, Workflow Management, Data Wrangling, Data Quality, Statistical Analysis, Data Transformation",4.3,246 reviews,Beginner Â,3 - 6 Months
51,IBM Systems Analyst,IBM,"Data Storytelling, Business Process Modeling, Business Analysis, Stakeholder Management, Stakeholder Analysis, Process Optimization, Data Visualization, Requirements Management, Process Mapping, Business Process, Systems Design, Process Analysis, Process Flow Diagrams, Systems Analysis, Database Design, Release Management, Data Modeling, Information Technology, Database Management, Agile Methodology",4.7,4.7K reviews,Beginner Â,3 - 6 Months
