id,Course Name,Provider,Skills,Rating,Total Reviews,Level,Duration
52,IBM Data Warehouse Engineer,IBM,"Data Warehousing, SQL, Extract, Transform, Load, Apache Airflow, Linux Commands, Database Design, IBM Cognos Analytics, MySQL, Database Administration, Data Pipelines, Apache Kafka, Database Management, Bash (Scripting Language), Shell Script, Database Architecture and Administration, Data Store, IBM DB2, Data Visualization, Relational Databases, Dashboard",4.7,6.5K reviews,Beginner Â,3 - 6 Months
53,Microsoft Business Analyst,Microsoft,"Microsoft Power Platform, Excel Formulas, Process Flow Diagrams, Business Process Modeling, User Story, Business Requirements, Stakeholder Management, Data Modeling, Microsoft Excel, Software Development Life Cycle, Requirements Analysis, Requirements Elicitation, Quality Management, Pivot Tables And Charts, Microsoft Visio, Power BI, Microsoft Power Automate/Flow, Business Analysis, Scrum (Software Development), Data Analysis",4.6,1.3K reviews,Beginner Â,3 - 6 Months
54,SAP Technology Consultant,SAP,"Relationship Building, Project Management, Case Studies, Technology Solutions, Project Implementation, Software As A Service, Project Management Life Cycle, Systems Analysis, Enterprise Architecture, Enterprise Resource Planning, Consultative Approaches, Solution Architecture, Project Closure, Stakeholder Communications, Test Planning, Stakeholder Management, Agile Methodology, Technical Communication, Company, Product, and Service Knowledge, LinkedIn",4.7,1.4K reviews,Beginner Â,3 - 6 Months
55,IBM IT Support,IBM,"Cloud Computing Architecture, Technical Support, Technical Support and Services, Cloud Services, Generative AI, Hardware Troubleshooting, IT Service Management, Cloud Security, Cybersecurity, Desktop Support, Cloud Platforms, Cloud Hosting, Cloud Engineering, Cloud Computing, Professional Networking, Data Storage, Peripheral Devices, Information Technology, Cloud Infrastructure, Customer Service",4.7,12K reviews,Beginner Â,3 - 6 Months
56,ADP Entry-Level Payroll Specialist,"Automatic Data Processing, Inc. (ADP)","Payroll, Payroll Administration, Payroll Processing, Payroll Reporting, Payroll Tax, Payroll Systems, Labor Compliance, Data Entry, Labor Law, Compensation Management, Human Resource Strategy, Compensation and Benefits, Non-Profit Accounting, Payment Processing and Collection, Benefits Administration, Tax Compliance, Specialized Accounting, Reconciliation, Workforce Management, Data Analysis",4.7,683 reviews,Beginner Â,3 - 6 Months
57,Meta iOS Developer,Meta,"React Native, iOS Development, Core Data (Software), Restful API, Version Control, Apple iOS, UI/UX Research, Usability Testing, Apple Xcode, Data Structures, Swift Programming, Jest (JavaScript Testing Framework), User Interface (UI), Unix Commands, Git (Version Control System), Persona (User Experience), GitHub, Interaction Design, Mobile Development, Javascript",4.6,8.4K reviews,Beginner Â,3 - 6 Months
58,Meta Android Developer,Meta,"React Native, Android Studio, Restful API, Version Control, UI/UX Research, Usability Testing, Git (Version Control System), Data Structures, Jest (JavaScript Testing Framework), Unix Commands, Android Jetpack, Android Development, Persona (User Experience), GitHub, Interaction Design, Kotlin, User Experience Design, User Interface and User Experience (UI/UX) Design, Mobile Development, Javascript",4.6,8.9K reviews,Beginner Â,3 - 6 Months
59,DeepLearning.AI Data Analytics,DeepLearning.AI,"Data Storytelling, Web Scraping, Google Sheets, Data Visualization, Data Presentation, Spreadsheet Software, Large Language Modeling, Tableau Software, Data Literacy, Dashboard, LinkedIn, Pandas (Python Package), Time Series Analysis and Forecasting, Probability & Statistics, Extract, Transform, Load, Statistical Analysis, Statistics, Data Manipulation, Data Analysis, Descriptive Statistics",4.7,206 reviews,Beginner Â,3 - 6 Months
60,Microsoft Project Management: Build Job-Ready Skills,Microsoft,"Stakeholder Management, Team Management, Stakeholder Analysis, Virtual Teams, Scheduling, Conflict Management, Project Schedules, Project Management Life Cycle, Project Management, Risk Mitigation, Teamwork, Project Management Office (PMO), Procurement, Project Coordination, Kanban Principles, Performance Measurement, Risk Management, Communication, Planning, Budgeting",4.7,631 reviews,Beginner Â,3 - 6 Months
61,DeepLearning.AI Generative AI for Software Development,DeepLearning.AI,"Prompt Engineering, Large Language Modeling, Database Design, LLM Application, Software Documentation, Software Design Patterns, Databases, Test Automation, Collaborative Software, Software Testing, Application Design, Technical Documentation, Generative AI, Database Management, Software Design, Code Review, Software Architecture, Software Engineering, Software Development, Machine Learning",4.6,705 reviews,Beginner Â,1 - 3 Months
62,Meta Back-End Developer,Meta,"Django (Web Framework), Full-Stack Web Development, Version Control, Restful API, Data Structures, Unix Commands, Bootstrap (Front-End Framework), Git (Version Control System), Back-End Web Development, GitHub, Web Design and Development, Relational Databases, Front-End Web Development, Object Oriented Programming (OOP), Database Management Systems, SQL, Database Design, Python Programming, Computer Programming, Cloud Hosting",4.6,9.6K reviews,Beginner Â,3 - 6 Months
63,Microsoft Cloud Support Associate,Microsoft,"Microsoft 365, Network Security, Cloud Management, Microsoft Azure, Business Software, Computer Hardware, Virtual Machines, Identity and Access Management, Cybersecurity, Network Troubleshooting, Microsoft Office, Desktop Support, Virtual Private Networks (VPN), Azure Active Directory, Technical Support, Hardware Troubleshooting, System Monitoring, Disaster Recovery, Cloud Computing, Network Protocols",4.7,1.4K reviews,Beginner Â,3 - 6 Months
64,IBM Applied DevOps Engineering,IBM,"User Story, CI/CD, Open Web Application Security Project (OWASP), Continuous Integration, Istio, Application Deployment, Test Driven Development (TDD), Kubernetes, Gherkin (Scripting Language), Jenkins, Agile Software Development, DevOps, Code Coverage, OpenShift, Cloud Applications, Behavior-Driven Development, Secure Coding, Grafana, System Monitoring, Agile Methodology",4.7,7.7K reviews,Intermediate Â,3 - 6 Months
65,Microsoft IT Support: Your Launchpad into Tech,Microsoft,"Microsoft 365, Network Security, Business Software, Computer Hardware, Cybersecurity, Microsoft Office, Desktop Support, Virtual Private Networks (VPN), Network Troubleshooting, Technical Support, Hardware Troubleshooting, Generative AI, Operating Systems, Collaborative Software, System Support, Network Protocols, TCP/IP, Application Security, Microsoft Teams, Cloud Computing",4.8,1.3K reviews,Beginner Â,3 - 6 Months
66,Meta Marketing Analytics,Meta,"Data Storytelling, Business Metrics, Key Performance Indicators (KPIs), Marketing Analytics, Bayesian Statistics, Data Visualization, Descriptive Statistics, Marketing Effectiveness, Statistical Hypothesis Testing, Target Audience, Marketing Strategies, Data Cleansing, Pandas (Python Package), Data Modeling, Data Analysis, Data Visualization Software, A/B Testing, Data Collection, Marketing, Interviewing Skills",4.7,4.2K reviews,Beginner Â,3 - 6 Months
67,IBM Project Manager,IBM,"User Story, Stakeholder Engagement, Project Management Life Cycle, Resource Management, Risk Management, Peer Review, Agile Software Development, Earned Value Management, Stakeholder Management, Agile Methodology, Project Risk Management, Kanban Principles, Backlogs, Stakeholder Analysis, Project Management, IT Management, Interviewing Skills, Professional Networking, Leadership, Communication",4.8,5.3K reviews,Beginner Â,3 - 6 Months
68,Meta Database Engineer,Meta,"MySQL, Database Design, Version Control, Database Management Systems, Database Management, MySQL Workbench, Extract, Transform, Load, Data Modeling, Data Structures, SQL, Unix Commands, Relational Databases, Databases, Git (Version Control System), Database Systems, GitHub, Stored Procedure, Object Oriented Programming (OOP), Database Administration, Database Development",4.6,7.4K reviews,Beginner Â,3 - 6 Months
69,Preparing for Google Cloud Certification: Cloud Security Engineer,Google Cloud,"Application Performance Management, Distributed Denial-Of-Service (DDoS) Attacks, Google Cloud Platform, Kubernetes, Cloud Infrastructure, Identity and Access Management, Data Loss Prevention, Load Balancing, System Monitoring, Prompt Engineering, Network Monitoring, Cloud Computing Architecture, Containerization, Network Architecture, Role-Based Access Control (RBAC), Network Security, OAuth, Network Routing, Cloud Security, Virtual Private Networks (VPN)",4.7,50K reviews,Intermediate Â,3 - 6 Months
70,"IBM Deep Learning with PyTorch, Keras and Tensorflow",IBM,"PyTorch (Machine Learning Library), Keras (Neural Network Library), Deep Learning, Reinforcement Learning, Unsupervised Learning, Artificial Neural Networks, Machine Learning Methods, Generative AI, Tensorflow, Image Analysis, Computer Vision, Artificial Intelligence, Geospatial Information and Technology, Machine Learning, Regression Analysis, Data Pipelines, Network Architecture, Network Model, Predictive Modeling, Natural Language Processing",4.5,4K reviews,Intermediate Â,3 - 6 Months
71,Preparing for Google Cloud Certification: Cloud Architect,Google Cloud,"Cloud Infrastructure, Identity and Access Management, Kubernetes, Google Cloud Platform, Prompt Engineering, Application Deployment, Cloud Storage, Containerization, Infrastructure As A Service (IaaS), Cloud Computing, CI/CD, Cloud-Native Computing, Terraform, Cloud Applications, Cloud Computing Architecture, Cloud Security, Cloud Management, Cloud Services, Load Balancing, Network Planning And Design",4.7,59K reviews,Intermediate Â,3 - 6 Months
72,Preparing for Google Cloud Certification: Cloud Network Engr,Google Cloud,"Application Performance Management, Distributed Denial-Of-Service (DDoS) Attacks, Google Cloud Platform, Cloud Infrastructure, Load Balancing, System Monitoring, Prompt Engineering, Kubernetes, Network Performance Management, Network Monitoring, Firewall, Cloud Computing Architecture, Containerization, Network Architecture, Network Security, Cloud Storage, Cloud Services, Network Routing, Virtual Private Networks (VPN), Network Troubleshooting",4.7,50K reviews,Intermediate Â,3 - 6 Months
73,Preparing for Google Cloud Certification: Cloud Engineer,Google Cloud,"Cloud Infrastructure, Identity and Access Management, Kubernetes, Google Cloud Platform, Cloud Management, Prompt Engineering, Cloud Storage, Containerization, Infrastructure As A Service (IaaS), Cloud-Native Computing, Terraform, Cloud Applications, Cloud Computing Architecture, Cloud Services, Load Balancing, Application Deployment, Infrastructure as Code (IaC), Virtual Machines, Data Storage Technologies, Cloud Computing",4.7,59K reviews,Intermediate Â,3 - 6 Months
74,Epic Games Game Design,Epic Games,"Unreal Engine, Game Design, Video Game Development, Animation and Game Design, Ideation, 3D Modeling, Visualization (Computer Graphics), Software Documentation, Software Design Documents, 3D Assets, User Experience Design, Computer Graphics, Usability, User Interface (UI), User Experience, User Interface (UI) Design, Interactive Design, Virtual Environment, Version Control, Prototyping",4.3,523 reviews,Beginner Â,3 - 6 Months
75,Preparing for Google Cloud Certification: Machine Learning Engineer,Google Cloud,"Feature Engineering, MLOps (Machine Learning Operations), Responsible AI, Prompt Engineering, Google Cloud Platform, Generative AI, Tensorflow, Dataflow, Keras (Neural Network Library), Data Quality, Exploratory Data Analysis, Machine Learning Methods, Machine Learning, Applied Machine Learning, Data Pipelines, Apache Airflow, Scikit Learn (Machine Learning Library), Data Cleansing, Real Time Data, Cloud Computing",4.4,4.9K reviews,Intermediate Â,3 - 6 Months
76,Amazon Junior Software Developer with GenAI,Amazon,"Git (Version Control System), Software Development Methodologies, JUnit, Requirements Analysis, Version Control, Application Development, Software Development Life Cycle, SQL, Full-Stack Web Development, Test Driven Development (TDD), Software Development, Restful API, Object Oriented Programming (OOP), Object Oriented Design, Database Management, MySQL, Digital Transformation, Relational Databases, Java Programming, Generative AI",4.4,456 reviews,Beginner Â,3 - 6 Months
77,Meta Data Analyst with GenAI,Meta,"Data Storytelling, Business Metrics, Key Performance Indicators (KPIs), Data Management, Data Collection, Data Governance, Bayesian Statistics, Data Visualization, Descriptive Statistics, Statistical Hypothesis Testing, Information Privacy, Data Cleansing, Pandas (Python Package), Data Quality, Data Analysis, Data Visualization Software, Spreadsheet Software, Exploratory Data Analysis, SQL, Python Programming",4.7,1.7K reviews,Beginner Â,3 - 6 Months
78,NASM Personal Fitness Trainer,National Academy of Sports Medicine,"Goal Setting, Exercise Science, Kinesiology, Nutrition and Diet, Nutrition Counseling, Smart Goals, Health Assessment, Sports Medicine, Human Musculoskeletal System, Preventative Care, Public Health and Disease Prevention, Nutritional Assessment, Respiration, Physiology, Neurology, Automated External Defibrillator, Rehabilitation, Cardiopulmonary Resuscitation (CPR), Coaching, Health And Wellness Coaching",4.7,264 reviews,Beginner Â,3 - 6 Months
79,AAPC Medical Biller,AAPC,"Medical Billing, Denial Management, ICD Coding (ICD-9/ICD-10), Patient Registration, Billing, Medical Billing and Coding, Medical Coding, CPT Coding, Accounts Receivable, Payment Processing and Collection, Medical Office Procedures, Utilization Management, Medical Records, Billing & Invoicing, Insurance, Medicare, Health Insurance Portability And Accountability Act (HIPAA) Compliance, Health Systems, Healthcare Industry Knowledge, Regulatory Compliance",4.7,91 reviews,Beginner Â,3 - 6 Months
80,IBM UI/UX Designer,IBM,"User Story, Information Architecture, UI/UX Research, User Research, User Interface and User Experience (UI/UX) Design, Design Thinking, User Experience, Agile Software Development, User Centered Design, Agile Methodology, Usability, Responsive Web Design, Usability Testing, Kanban Principles, User Interface (UI), Figma (Design Software), Wireframing, Design Research, Prototyping, Persona (User Experience)",4.9,2.7K reviews,Beginner Â,3 - 6 Months
81,Microsoft Cybersecurity Analyst,Microsoft,"Threat Modeling, MITRE ATT&CK Framework, Penetration Testing, Azure Active Directory, Network Security, Computer Systems, Security Information and Event Management (SIEM), Security Testing, Encryption, Cybersecurity, System Testing, Cloud Security, Vulnerability Scanning, Threat Management, Cloud Computing, Authentications, Active Directory, Operating Systems, Data Management, Computer Security Incident Management",4.7,2.8K reviews,Beginner Â,3 - 6 Months
82,Google Cloud Digital Leader Training,Google Cloud,"Cloud Management, Serverless Computing, Google Cloud Platform, Digital Transformation, Data Governance, Cloud Services, Distributed Denial-Of-Service (DDoS) Attacks, Cloud Security, Cloud Infrastructure, Data Strategy, Application Programming Interface (API), Cloud Solutions, Real Time Data, Business Transformation, Data Management, Hybrid Cloud Computing, Data Warehousing, Artificial Intelligence, Responsible AI, Data Security",4.8,4.7K reviews,Beginner Â,3 - 6 Months
83,Preparing for Google Cloud Certification: Cloud DevOps Engr,Google Cloud,"Site Reliability Engineering, Kubernetes, Application Performance Management, Google Cloud Platform, Cloud Infrastructure, System Monitoring, Prompt Engineering, Application Deployment, Identity and Access Management, CI/CD, Containerization, Cloud Storage, Cloud Security, Cloud Services, Cloud Management, Service Level Agreement, Virtual Machines, Safety Culture, Network Monitoring, Culture Transformation",4.7,54K reviews,Beginner Â,3 - 6 Months
84,DeepLearning.AI TensorFlow Developer,DeepLearning.AI,"Tensorflow, Computer Vision, Image Analysis, Keras (Neural Network Library), Natural Language Processing, Time Series Analysis and Forecasting, Deep Learning, Artificial Neural Networks, Generative AI, Predictive Modeling, Applied Machine Learning, Artificial Intelligence and Machine Learning (AI/ML), Artificial Intelligence, Text Mining, Machine Learning Methods, Forecasting, Data Processing, Machine Learning, Supervised Learning",4.7,25K reviews,Intermediate Â,3 - 6 Months
85,Preparing for Google Cloud Certification: Cloud Developer,Google Cloud,"API Gateway, Google Gemini, Cloud Applications, Kubernetes, Google Cloud Platform, Containerization, Cloud Infrastructure, Cloud Development, Cloud-Native Computing, Prompt Engineering, CI/CD, Microservices, Docker (Software), Application Deployment, Application Development, Serverless Computing, Identity and Access Management, Cloud Computing, Cloud Storage, Debugging",4.7,49K reviews,Intermediate Â,3 - 6 Months
86,Tableau Business Intelligence Analyst,Tableau Learning Partner,"Data Storytelling, Exploratory Data Analysis, Requirements Elicitation, Data Presentation, Data Governance, Data Ethics, Tableau Software, Business Analysis, Data Literacy, Data Visualization, Data Visualization Software, Data Warehousing, Business Metrics, Dashboard, Extract, Transform, Load, Stakeholder Analysis, Data Analysis, Spatial Data Analysis, Data Quality, Data Management",4.7,1.1K reviews,Beginner Â,3 - 6 Months
87,Microsoft Python Development,Microsoft,"Web Scraping, Data Structures, Git (Version Control System), Generative AI, Version Control, Matplotlib, Plotly, DevOps, Agile Methodology, Web Development, Data Ethics, Flask (Web Framework), Data Visualization, Scripting, GitHub, Debugging, Data Cleansing, Data Analysis, Automation, Cloud Computing",4.4,517 reviews,Beginner Â,3 - 6 Months
88,AWS Cloud Solutions Architect,Amazon Web Services,"AWS Identity and Access Management (IAM), Amazon CloudWatch, Data Lakes, Amazon DynamoDB, Amazon Web Services, Serverless Computing, Cloud Computing, Amazon S3, Scalability, Amazon Elastic Compute Cloud, Event-Driven Programming, Cloud Security, Solution Architecture, Data Visualization, Cloud Storage, Data Architecture, Software Architecture, Cloud Computing Architecture, API Gateway, Hybrid Cloud Computing",4.8,6.9K reviews,Intermediate Â,3 - 6 Months
89,AWS Cloud Technology Consultant,Amazon Web Services,"AWS Identity and Access Management (IAM), Infrastructure as Code (IaC), Large Language Modeling, Amazon CloudWatch, AWS CloudFormation, Amazon DynamoDB, Software Development Life Cycle, CI/CD, Amazon Web Services, Professional Networking, Prompt Engineering, IT Automation, Cloud Computing, Extract, Transform, Load, Software Architecture, Cloud Computing Architecture, Cloud Management, Data Management, Problem Solving, Teamwork",4.8,6.8K reviews,Beginner Â,3 - 6 Months
90,IBM Program Manager,IBM,"User Story, Program Management, Stakeholder Management, Resource Allocation, Agile Software Development, Agile Methodology, Kanban Principles, Project Management Life Cycle, Backlogs, Change Management, Project Management Office (PMO), Organizational Change, Responsible AI, Sprint Retrospectives, Agile Project Management, Organizational Strategy, Risk Management, Governance, Project Management, Leadership",4.8,2.8K reviews,Beginner Â,3 - 6 Months
91,AWS Cloud Support Associate,Amazon Web Services,"AWS Identity and Access Management (IAM), Infrastructure as Code (IaC), Command-Line Interface, Amazon CloudWatch, AWS CloudFormation, Root Cause Analysis, Amazon DynamoDB, Customer Relationship Building, Network Troubleshooting, Amazon Web Services, Customer Relationship Management, Software Architecture, IT Automation, Linux Commands, Cloud Computing, Linux, Web Applications, Information Technology, Customer Service, Software Development",4.8,6.6K reviews,Beginner Â,3 - 6 Months
92,Salesforce Sales Operations,Salesforce,"Sales Pipelines, Sales Process, Sales Operations, Customer Success Management, Order Management, Sales Management, Salesforce, Dashboard, Sales, Sales Development, Lead Generation, Request For Quotation (RFQ), Sales Support, Customer Relationship Management, Sales Enablement, Product Knowledge, B2B Sales, Campaign Management, Data Visualization, Sales Training",4.6,2K reviews,Beginner Â,3 - 6 Months
93,Google Professional Workspace Administrator,Google Cloud,"User Provisioning, Data Governance, Google Workspace, Data Loss Prevention, Gmail, User Accounts, Google Gemini, Information Management, Email Security, Data Management, Data Security, Document Management, Group Policy, Identity and Access Management, Mobile Security, Records Management, Email Automation, Data Storage, Security Management, Technical Support",4.7,1.5K reviews,Beginner Â,1 - 4 Weeks
94,IBM Ethical Hacking with Open Source Tools,IBM,"Threat Detection, Penetration Testing, Exploit development, Cyber Threat Intelligence, Threat Management, Linux Administration, Incident Response, Vulnerability Scanning, Cyber Security Assessment, Vulnerability Assessments, Vulnerability Management, Cybersecurity, Network Security, Network Monitoring, Bash (Scripting Language), Network Troubleshooting, Anomaly Detection, Information Systems Security, Cyber Security Policies, Network Analysis",4.6,108 reviews,Intermediate Â,3 - 6 Months
95,Johns Hopkins Medical Office Manager,Johns Hopkins University,"Medical Billing and Coding, Denial Management, Patient Registration, Care Management, Revenue Cycle Management, Practice Management, Organizational Change, Change Management, Health Insurance Portability And Accountability Act (HIPAA) Compliance, Performance Review, Data Management, ICD Coding (ICD-9/ICD-10), Medical Terminology, Human Resource Policies, Payment Processing and Collection, Medical Billing, Patient Safety, Continuous Quality Improvement (CQI), Healthcare Industry Knowledge, Data Analysis",4.7,194 reviews,Beginner Â,3 - 6 Months
96,IBM Machine Learning with Python & Scikit-learn,IBM,"Exploratory Data Analysis, Feature Engineering, Unsupervised Learning, Supervised Learning, Regression Analysis, Dimensionality Reduction, Time Series Analysis and Forecasting, Reinforcement Learning, Generative Model Architectures, Deep Learning, Data Analysis, Statistical Methods, Statistical Inference, Applied Machine Learning, Predictive Modeling, Statistical Hypothesis Testing, Machine Learning Algorithms, Machine Learning, Data Science, Python Programming",4.6,3.4K reviews,Intermediate Â,3 - 6 Months
97,Microsoft Full-Stack Developer,Microsoft,"CI/CD, GitHub, C# (Programming Language), HTML and CSS, Load Balancing, Continuous Integration, Git (Version Control System), Role-Based Access Control (RBAC), Scalability, Object Oriented Programming (OOP), Authentications, ASP.NET, Full-Stack Web Development, Web Development, Debugging, SQL, Application Deployment, Microsoft Copilot, .NET Framework, Graph Theory",4.6,282 reviews,Beginner Â,3 - 6 Months
98,Microsoft AI & ML Engineering,Microsoft,"Unsupervised Learning, Generative AI, Large Language Modeling, Data Management, Natural Language Processing, MLOps (Machine Learning Operations), Supervised Learning, Microsoft Azure, Deep Learning, Artificial Intelligence and Machine Learning (AI/ML), Infrastructure Architecture, LLM Application, Responsible AI, Generative AI Agents, Applied Machine Learning, Reinforcement Learning, Data Ethics, Prompt Engineering, Data Processing, Application Deployment",4.5,263 reviews,Intermediate Â,3 - 6 Months
99,Google Cloud Cybersecurity,Google Cloud,"Cloud Security, Identity and Access Management, Intrusion Detection and Prevention, Computer Security Incident Management, Threat Management, Cyber Threat Hunting, Risk Management Framework, Cyber Attacks, Cybersecurity, Cyber Operations, Vulnerability Management, Continuous Monitoring, Event Monitoring, Disaster Recovery, Generative AI, DevSecOps, Data Security, Cloud Storage, Large Language Modeling, Google Cloud Platform",4.5,379 reviews,Beginner Â,3 - 6 Months
100,Microsoft SQL Server,Microsoft,"Stored Procedure, Star Schema, Microsoft SQL Servers, Database Design, Relational Databases, Data Integrity, Data Integration, SQL, Transaction Processing, Power BI, Data Warehousing, Database Management, Transact-SQL, Database Development, Data Maintenance, Databases, Query Languages, Database Architecture and Administration, Database Systems, Data Management",4.4,114 reviews,Beginner Â,3 - 6 Months
